,year_income,state_id,median_income
827,2006,HI,73699
828,2006,ID,56323
829,2006,IL,59319
830,2006,IN,55341
831,2006,IA,58655
832,2006,KS,55517
833,2006,LA,44471
834,2006,KY,48123
835,2006,ME,55627
836,2006,MD,77597
837,2006,MA,67435
838,2006,MI,59290
839,2006,MN,68508
840,2006,MS,42332
841,2006,MO,54332
842,2006,MT,50098
843,2006,NE,58678
844,2006,NV,63720
845,2006,NH,75527
846,2006,NJ,82948
847,2006,NM,48785
848,2006,NY,58772
849,2006,NC,48503
850,2006,ND,50027
851,2006,OH,55942
852,2006,OK,47335
853,2006,OR,57393
854,2006,PA,59082
855,2006,RI,65492
856,2006,SC,48284
857,2006,SD,55365
858,2006,TN,49595
859,2006,TX,52781
860,2006,UT,66579
861,2006,VT,63353
862,2006,VA,69615
863,2006,WA,66695
864,2006,WV,46824
865,2006,WI,63001
866,2006,WY,57332
867,2007,AL,50028
868,2007,AK,74657
869,2007,AZ,55957
870,2007,AR,48349
871,2007,CA,66054
872,2007,CO,72462
873,2007,CT,76017
874,2007,DE,64697
875,2007,D.C,60186
876,2007,FL,54273
877,2007,GA,57647
878,2007,HI,75876
879,2007,ID,58291
880,2007,IL,62228
881,2007,IN,56239
882,2007,IA,57964
883,2007,KS,57477
884,2007,LA,48963
885,2007,KY,46757
886,2007,ME,56762
887,2007,MD,77782
888,2007,MA,69288
889,2007,MI,58511
890,2007,MN,68808
891,2007,MS,44182
892,2007,MO,54523
893,2007,MT,51738
894,2007,NE,58279
895,2007,NV,64067
896,2007,NH,80088
897,2007,NJ,71712
898,2007,NM,52569
899,2007,NY,58007
900,2007,NC,51570
901,2007,ND,55946
902,2007,OH,58190
903,2007,OK,51218
904,2007,OR,59538
905,2007,PA,57406
906,2007,RI,64248
907,2007,SC,52400
908,2007,SD,55013
909,2007,TN,48823
910,2007,TX,54580
911,2007,UT,63440
912,2007,VT,56165
913,2007,VA,70115
914,2007,WA,68834
915,2007,WV,49885
916,2007,WI,60771
917,2007,WY,57769
918,2008,AL,50761
919,2008,AK,73032
920,2008,AZ,53544
921,2008,AR,45180
922,2008,CA,65071
923,2008,CO,69556
924,2008,CT,73823
925,2008,DE,57867
926,2008,D.C,63446
927,2008,FL,51196
928,2008,GA,52760
929,2008,HI,70215
930,2008,ID,54121
931,2008,IL,60780
932,2008,IN,53094
933,2008,IA,57228
934,2008,KS,54643
935,2008,LA,45154
936,2008,KY,46963
937,2008,ME,53902
938,2008,MD,72715
939,2008,MA,68845
940,2008,MI,56824
941,2008,MN,62687
942,2008,MS,41597
943,2008,MO,52544
944,2008,MT,48963
945,2008,NE,57897
946,2008,NV,62481
947,2008,NH,75528
948,2008,NJ,74535
949,2008,NM,48052
950,2008,NY,57592
951,2008,NC,48997
952,2008,ND,56645
953,2008,OH,53567
954,2008,OK,52627
955,2008,OR,59037
956,2008,PA,58666
957,2008,RI,60765
958,2008,SC,48112
959,2008,SD,58892
960,2008,TN,45313
961,2008,TX,53060
962,2008,UT,71375
963,2008,VT,57872
964,2008,VA,70745
965,2008,WA,64634
966,2008,WV,43363
967,2008,WI,58436
968,2008,WY,60875
969,2009,AL,45789
970,2009,AK,70555
971,2009,AZ,52385
972,2009,AR,41847
973,2009,CA,64291
