YEAR,STATE,STATE_id,Median_Income
2004,Ohio,OH,56010
2004,Oklahoma,OK,51534
2004,Oregon,OR,53329
2004,Pennsylvania,PA,57378
2004,Rhode Island,RI,62359
2004,South Carolina,SC,50333
2004,South Dakota,SD,53476
2004,Tennesse,TN,49528
2004,Texas,TX,53853
2004,Utah,UT,66178
2004,Vermont,VT,61570
2004,Virginia,VA,66529
2004,Washington,WA,64944
2004,West Virginia,WV,43415
2004,Wisconsin,WI,59493
2004,Wyoming,WY,59057
2005,Alaska,AL,46745
2005,Alabama,AK,70326
2005,Arizona,AZ,56931
2005,Arkansas,AR,46126
2005,California,CA,65122
2005,Colorado,CO,63479
2005,Connecticut,CT,71514
2005,Delaware,DE,64468
2005,DC,D.C,56614
2005,Florida,FL,54093
2005,Georgia,GA,57788
2005,Hawaii,HI,74976
2005,Idaho,ID,55586
2005,Illinois,IL,60898
2005,Indiana,IN,53398
2005,Iowa,IA,58510
2005,Kansas,KS,52882
2005,Lousiana,LA,46853
2005,Kentucky,KY,46178
2005,Maine,ME,55267
2005,Maryland,MD,76141
2005,Massachusetts,MA,70485
2005,Michigan,MI,57796
2005,Minnesota,MN,68218
2005,Mississippi,MS,41366
2005,Missouri,MO,54088
2005,Montana,MT,46950
2005,Nebraska,NE,60300
2005,Nevada,NV,60660
2005,New Hampshire,NH,71702
2005,New Jersey,NJ,79735
2005,New Mexico,NM,49006
2005,New York,NY,59361
2005,North Carolina,NC,52918
2005,North Dakota,ND,53089
2005,Ohio,OH,55620
2005,Oklahoma,OK,47368
2005,Oregon,OR,55564
2005,Pennsylvania,PA,58258
2005,Rhode Island,RI,62265
2005,South Carolina,SC,50621
2005,South Dakota,SD,54296
2005,Tennesse,TN,49584
2005,Texas,TX,52120
2005,Utah,UT,68970
2005,Vermont,VT,63800
2005,Virginia,VA,65322
2005,Washington,WA,63727
2005,West Virginia,WV,45858
2005,Wisconsin,WI,56182
2005,Wyoming,WY,56268
2006,Alaska,AL,46255
2006,Alabama,AK,68761
2006,Arizona,AZ,56864
2006,Arkansas,AR,45164
2006,California,CA,67421
2006,Colorado,CO,67882
2006,Connecticut,CT,76056
2006,Delaware,DE,63910
2006,DC,D.C,59082
2006,Florida,FL,55669
2006,Georgia,GA,60139
2006,Hawaii,HI,73699
2006,Idaho,ID,56323
2006,Illinois,IL,59319
2006,Indiana,IN,55341
2006,Iowa,IA,58655
2006,Kansas,KS,55517
2006,Lousiana,LA,44471
2006,Kentucky,KY,48123
2006,Maine,ME,55627
